Code,Name,Sales Executive,Sales Area,Sales Region,Sales Territory,State
01000079,Agri Business Centre Bareja,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
01000083,Agro Service Center Chulli,SURENDRANAGAR TERRITORY,Gujarat,VADODARA,SURENDRANAGAR,Gujarat
01000085,Ambica Sales Corporation Sarkhej,OTHER NS GUJARAT TERRITORY,Gujarat,VADODARA,OTHER NS GUJARAT,Gujarat
01000093,Bhavani Agro Centre Tharad,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
01000096,Bhumi Agro Centre Visnagar,OTHER NS GUJARAT TERRITORY,Gujarat,VADODARA,OTHER NS GUJARAT,Gujarat
01000097,Brahmani Agro Agency  Ambaliyasan,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000098,Brahmani Fertilizers Kukarwada,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000100,Dhartidham Traders Dehgam,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000101,Divine Tree Ltd. Ahmedabad,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000103,Gayatri Agro Chemical Tajpur Camp,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000108,Jalaram Agro Centre Modasa,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000114,Manglam Agro Seeds Himmatnagar,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000115,Maruti Agro Centre Trent,OTHER NS GUJARAT TERRITORY,Gujarat,VADODARA,OTHER NS GUJARAT,Gujarat
01000119,Nilkanth Sales Corporation Idar,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000124,Raj Agro Agency Chiloda Mota,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000126,Sagar Agro Centre  Deesa,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
01000130,Shiv Shakti Agro Centre Kadi,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000132,Shree Bhagwati Fertilizers Dakor,NADIYAD TERRITORY,Gujarat,VADODARA,NADIYAD,Gujarat
01000133,Shri Ambica Fertilizers Khedbrahma,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
01000134,Shri Brahmani Beej Kendra Deesa,DEESA TERRITORY,Gujarat,VADODARA,DEESA,Gujarat
01000136,Shri Ram Agro Tenpur,HIMMATNAGAR TERRITORY,Gujarat,VADODARA,HIMMATNAGAR,Gujarat
